appid,discount,initial_price,price
992,0,0,"0,00"
3030,0,0,"0,00"
2145,0,0,"0,00"
991,0,0,"0,00"
5,0,0,"0,00"
80,0,"9,99","9,99"
3020,0,"9,99","9,99"
2130,0,"9,99","9,99"
990,0,0,"0,00"
3010,0,"4,99","4,99"
2120,0,0,"0,00"
989,0,0,"0,00"
3000,0,"4,99","4,99"
2115,0,0,"0,00"
988,0,0,"0,00"
590,0,0,"0,00"
2990,0,"9,99","9,99"
2114,0,0,"0,00"
987,0,0,"0,00"
2950,0,0,"0,00"
2110,0,0,"0,00"
986,0,0,"0,00"
10,0,"9,99","9,99"
2930,0,0,"0,00"
2100,0,"9,99","9,99"
985,0,0,"0,00"
2920,80,"18,95","3,79"
1930,0,"14,99","14,99"
984,0,0,"0,00"
2910,80,"18,95","3,79"
1920,0,0,"0,00"
983,0,0,"0,00"
2900,80,"18,95","3,79"
1900,0,"9,99","9,99"
982,0,0,"0,00"
90,0,0,"0,00"
2870,0,"29,99","29,99"
1840,0,0,"0,00"
981,0,0,"0,00"
2860,0,0,"0,00"
1710,0,0,"0,00"
980,0,0,"0,00"
205,0,0,"0,00"
2850,0,"4,99","4,99"
1700,0,"4,99","4,99"
979,0,0,"0,00"
2840,0,"4,99","4,99"
1690,80,"19,95","3,99"
978,0,0,"0,00"
2827,0,0,"0,00"
1670,80,"5,95","1,19"
977,0,0,"0,00"
1645,0,0,"0,00"
976,0,0,"0,00"
2826,0,0,"0,00"
2820,0,"15,99","15,99"
1640,80,"5,95","1,19"
975,0,0,"0,00"
2810,0,"9,99","9,99"
1635,0,0,"0,00"
974,0,0,"0,00"
2800,0,"4,99","4,99"
1630,80,"5,95","1,19"
973,0,0,"0,00"
2790,0,0,"0,00"
1620,0,"19,99","19,99"
972,0,0,"0,00"
2770,0,0,"0,00"
1610,80,"9,95","1,99"
971,0,0,"0,00"
2768,0,0,"0,00"
1600,0,"14,99","14,99"
970,0,0,"0,00"
2767,0,0,"0,00"
1540,0,0,"0,00"
969,0,0,"0,00"
2760,0,0,"0,00"
1535,0,0,"0,00"
968,0,0,"0,00"
2740,0,0,"0,00"
1532,0,0,"0,00"
967,0,0,"0,00"
2730,0,0,"0,00"
1530,0,"11,99","11,99"
966,0,0,"0,00"
2726,0,0,"0,00"
1528,0,0,"0,00"
965,0,0,"0,00"
150,0,0,"0,00"
2725,0,0,"0,00"
1525,0,0,"0,00"
964,0,0,"0,00"
2724,0,0,"0,00"
1523,0,0,"0,00"
963,0,0,"0,00"
