2025-08-14 01:35:28 | Process-3 | INFO | Worker 1 starting. games=65196 proxies=3
2025-08-14 01:35:47 | Process-3 | INFO | App 1050130: collected 29 reviews.
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.8s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.3s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.6s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.1s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.8s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.7s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.8s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.3s
2025-08-14 01:35:50 | Process-3 | INFO | Timeout -> backoff 1.4s
2025-08-14 01:35:58 | Process-3 | INFO | App 1050080: collected 14 reviews.
2025-08-14 01:36:07 | Process-3 | INFO | App 1050060: collected 0 reviews.
2025-08-14 01:36:08 | Process-3 | INFO | Timeout -> backoff 1.5s
2025-08-14 01:36:08 | Process-3 | INFO | App 1050190: collected 9 reviews.
2025-08-14 01:36:10 | Process-3 | INFO | Request exception: [WinError 121] The semaphore timeout period has expired -> backoff 2.4s
2025-08-14 01:36:11 | Process-3 | INFO | App 1050210: collected 7 reviews.
2025-08-14 01:36:11 | Process-3 | INFO | App 1050170: collected 2 reviews.
2025-08-14 01:36:11 | Process-3 | INFO | App 1050220: collected 0 reviews.
2025-08-14 01:36:12 | Process-3 | INFO | Timeout -> backoff 2.8s
2025-08-14 01:36:12 | Process-3 | INFO | Timeout -> backoff 2.8s
2025-08-14 01:36:12 | Process-3 | INFO | Timeout -> backoff 2.9s
2025-08-14 01:36:12 | Process-3 | INFO | Timeout -> backoff 2.1s
2025-08-14 01:36:12 | Process-3 | INFO | Timeout -> backoff 2.7s
2025-08-14 01:36:12 | Process-3 | INFO | Timeout -> backoff 2.3s
2025-08-14 01:36:12 | Process-3 | INFO | App 1050230: collected 51 reviews.
