2025-08-14 01:34:11 | MainProcess | INFO | Proxy validation progress: checked=26500/35743 good=10
2025-08-14 01:34:14 | MainProcess | INFO | Proxy validation progress: checked=27000/35743 good=10
2025-08-14 01:34:16 | MainProcess | INFO | Proxy validation progress: checked=27500/35743 good=10
2025-08-14 01:34:19 | MainProcess | INFO | Proxy validation progress: checked=28000/35743 good=10
2025-08-14 01:34:21 | MainProcess | INFO | Proxy validation progress: checked=28500/35743 good=10
2025-08-14 01:34:23 | MainProcess | INFO | Proxy validation progress: checked=29000/35743 good=10
2025-08-14 01:34:28 | MainProcess | INFO | Proxy validation progress: checked=29500/35743 good=10
2025-08-14 01:34:32 | MainProcess | INFO | Proxy validation progress: checked=30000/35743 good=10
2025-08-14 01:34:36 | MainProcess | INFO | Proxy validation progress: checked=30500/35743 good=10
2025-08-14 01:34:41 | MainProcess | INFO | Proxy validation progress: checked=31000/35743 good=10
2025-08-14 01:34:45 | MainProcess | INFO | Proxy validation progress: checked=31500/35743 good=10
2025-08-14 01:34:50 | MainProcess | INFO | Proxy validation progress: checked=32000/35743 good=10
2025-08-14 01:34:54 | MainProcess | INFO | Proxy validation progress: checked=32500/35743 good=10
2025-08-14 01:34:59 | MainProcess | INFO | Proxy validation progress: checked=33000/35743 good=10
2025-08-14 01:35:04 | MainProcess | INFO | Proxy validation progress: checked=33500/35743 good=10
2025-08-14 01:35:09 | MainProcess | INFO | Proxy validation progress: checked=34000/35743 good=10
2025-08-14 01:35:14 | MainProcess | INFO | Proxy validation progress: checked=34500/35743 good=10
2025-08-14 01:35:19 | MainProcess | INFO | Proxy validation progress: checked=35000/35743 good=10
2025-08-14 01:35:24 | MainProcess | INFO | Proxy validation progress: checked=35500/35743 good=10
2025-08-14 01:35:26 | MainProcess | INFO | Proxy validation progress: checked=35743/35743 good=10
2025-08-14 01:35:26 | MainProcess | INFO | Validation complete: 10 proxies valid for Steam (requested max 5000).
2025-08-14 01:35:26 | MainProcess | INFO | Using 10 validated proxies for crawling.
2025-08-14 01:35:27 | MainProcess | INFO | Spawned worker 0 (games=65196 proxies=3)
2025-08-14 01:35:28 | MainProcess | INFO | Spawned worker 1 (games=65196 proxies=3)
2025-08-14 01:35:29 | MainProcess | INFO | Spawned worker 2 (games=65196 proxies=3)
2025-08-14 01:35:30 | MainProcess | INFO | Spawned worker 3 (games=65196 proxies=1)
2025-08-18 01:34:16 | MainProcess | INFO | === START Steam Reviews Crawler (validated proxies) ===
2025-08-18 01:34:48 | MainProcess | INFO | === START Steam Reviews Crawler (validated proxies) ===
2025-08-18 01:34:49 | MainProcess | INFO | Loaded 260784 games from CSV.
2025-08-18 01:34:49 | MainProcess | INFO | 226112 games remain after applying resume filter.
2025-08-18 01:34:52 | MainProcess | INFO | Fetched 35664 raw proxies from API. Validating against Steam asynchronously...
2025-08-18 01:34:55 | MainProcess | INFO | Proxy validation progress: checked=500/35664 good=0
2025-08-18 01:34:56 | MainProcess | INFO | VALID PROXY [1/5000] http://88.210.38.50:3128 (checked 850/35664)
2025-08-18 01:34:56 | MainProcess | INFO | Proxy validation progress: checked=1000/35664 good=1
2025-08-18 01:34:57 | MainProcess | INFO | Proxy validation progress: checked=1500/35664 good=1
2025-08-18 01:34:58 | MainProcess | INFO | Proxy validation progress: checked=2000/35664 good=1
2025-08-18 01:34:59 | MainProcess | INFO | Proxy validation progress: checked=2500/35664 good=1
2025-08-18 01:35:00 | MainProcess | INFO | Proxy validation progress: checked=3000/35664 good=1
2025-08-18 01:35:01 | MainProcess | INFO | Proxy validation progress: checked=3500/35664 good=1
2025-08-18 01:35:03 | MainProcess | INFO | Proxy validation progress: checked=4000/35664 good=1
2025-08-18 01:35:04 | MainProcess | INFO | Proxy validation progress: checked=4500/35664 good=1
2025-08-18 01:35:06 | MainProcess | INFO | Proxy validation progress: checked=5000/35664 good=1
2025-08-18 01:35:07 | MainProcess | INFO | Proxy validation progress: checked=5500/35664 good=1
