2025-08-14 01:35:27 | Process-2 | INFO | Worker 0 starting. games=65196 proxies=3
2025-08-14 01:35:44 | Process-2 | INFO | App 8: collected 0 reviews.
2025-08-14 01:35:44 | Process-2 | INFO | App 7: collected 0 reviews.
2025-08-14 01:35:44 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 1.6s
2025-08-14 01:35:45 | Process-2 | INFO | App 5: collected 0 reviews.
2025-08-14 01:35:46 | Process-2 | INFO | App 20: collected 100 reviews.
2025-08-14 01:35:47 | Process-2 | INFO | App 90: collected 0 reviews.
2025-08-14 01:35:47 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 2.1s
2025-08-14 01:35:48 | Process-2 | INFO | App 100: collected 100 reviews.
2025-08-14 01:35:48 | Process-2 | INFO | App 92: collected 100 reviews.
2025-08-14 01:35:49 | Process-2 | INFO | Timeout -> backoff 1.7s
2025-08-14 01:35:49 | Process-2 | INFO | Timeout -> backoff 2.0s
2025-08-14 01:35:49 | Process-2 | INFO | Timeout -> backoff 1.1s
2025-08-14 01:35:49 | Process-2 | INFO | Timeout -> backoff 1.6s
2025-08-14 01:35:49 | Process-2 | INFO | Timeout -> backoff 1.6s
2025-08-14 01:35:49 | Process-2 | INFO | App 130: collected 100 reviews.
2025-08-14 01:35:49 | Process-2 | INFO | App 205: collected 0 reviews.
2025-08-14 01:35:49 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 4.4s
2025-08-14 01:35:50 | Process-2 | INFO | App 211: collected 0 reviews.
2025-08-14 01:35:50 | Process-2 | INFO | App 215: collected 0 reviews.
2025-08-14 01:35:51 | Process-2 | INFO | App 80: collected 100 reviews.
2025-08-14 01:35:52 | Process-2 | INFO | App 150: collected 0 reviews.
2025-08-14 01:35:52 | Process-2 | INFO | App 50: collected 100 reviews.
2025-08-14 01:35:53 | Process-2 | INFO | App 219: collected 100 reviews.
2025-08-14 01:35:53 | Process-2 | INFO | App 60: collected 100 reviews.
2025-08-14 01:35:53 | Process-2 | INFO | App 260: collected 0 reviews.
2025-08-14 01:35:54 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 8.6s
2025-08-14 01:35:56 | Process-2 | INFO | App 210: collected 0 reviews.
2025-08-14 01:35:57 | Process-2 | INFO | App 304: collected 0 reviews.
2025-08-14 01:35:58 | Process-2 | INFO | App 310: collected 0 reviews.
2025-08-14 01:35:58 | Process-2 | INFO | App 300: collected 100 reviews.
2025-08-14 01:35:59 | Process-2 | INFO | App 320: collected 100 reviews.
2025-08-14 01:35:59 | Process-2 | INFO | App 340: collected 100 reviews.
2025-08-14 01:36:00 | Process-2 | INFO | App 364: collected 0 reviews.
2025-08-14 01:36:00 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 1.1s
2025-08-14 01:36:01 | Process-2 | INFO | App 360: collected 100 reviews.
2025-08-14 01:36:01 | Process-2 | INFO | Request exception: Server disconnected -> backoff 2.5s
2025-08-14 01:36:01 | Process-2 | INFO | Request exception: Cannot connect to host store.steampowered.com:443 ssl:default [None] -> backoff 1.4s
2025-08-14 01:36:01 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 1.6s
2025-08-14 01:36:02 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 2.1s
2025-08-14 01:36:03 | Process-2 | INFO | App 218: collected 0 reviews.
2025-08-14 01:36:03 | Process-2 | INFO | App 280: collected 100 reviews.
2025-08-14 01:36:04 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 2.7s
2025-08-14 01:36:04 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 16.1s
2025-08-14 01:36:04 | Process-2 | INFO | App 410: collected 100 reviews.
2025-08-14 01:36:05 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 4.3s
2025-08-14 01:36:05 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 1.6s
2025-08-14 01:36:06 | Process-2 | INFO | App 440: collected 100 reviews.
2025-08-14 01:36:06 | Process-2 | INFO | App 456: collected 0 reviews.
2025-08-14 01:36:07 | Process-2 | INFO | App 457: collected 0 reviews.
2025-08-14 01:36:07 | Process-2 | INFO | App 458: collected 0 reviews.
2025-08-14 01:36:07 | Process-2 | INFO | App 70: collected 100 reviews.
2025-08-14 01:36:07 | Process-2 | INFO | App 420: collected 100 reviews.
2025-08-14 01:36:07 | Process-2 | INFO | App 459: collected 0 reviews.
2025-08-14 01:36:07 | Process-2 | INFO | App 400: collected 100 reviews.
2025-08-14 01:36:08 | Process-2 | INFO | App 480: collected 0 reviews.
2025-08-14 01:36:08 | Process-2 | INFO | App 510: collected 0 reviews.
2025-08-14 01:36:08 | Process-2 | INFO | App 513: collected 0 reviews.
2025-08-14 01:36:08 | Process-2 | INFO | App 520: collected 0 reviews.
2025-08-14 01:36:08 | Process-2 | INFO | App 530: collected 0 reviews.
2025-08-14 01:36:08 | Process-2 | INFO | App 40: collected 100 reviews.
2025-08-14 01:36:08 | Process-2 | INFO | App 540: collected 0 reviews.
2025-08-14 01:36:09 | Process-2 | INFO | App 564: collected 0 reviews.
2025-08-14 01:36:09 | Process-2 | INFO | App 563: collected 0 reviews.
2025-08-14 01:36:09 | Process-2 | INFO | App 560: collected 0 reviews.
2025-08-14 01:36:09 | Process-2 | INFO | App 565: collected 0 reviews.
2025-08-14 01:36:10 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 8.3s
2025-08-14 01:36:10 | Process-2 | INFO | App 576: collected 0 reviews.
2025-08-14 01:36:10 | Process-2 | INFO | App 575: collected 0 reviews.
2025-08-14 01:36:10 | Process-2 | INFO | App 582: collected 0 reviews.
2025-08-14 01:36:11 | Process-2 | INFO | App 583: collected 0 reviews.
2025-08-14 01:36:11 | Process-2 | INFO | Timeout -> backoff 2.6s
2025-08-14 01:36:11 | Process-2 | INFO | App 584: collected 0 reviews.
2025-08-14 01:36:11 | Process-2 | INFO | App 581: collected 0 reviews.
2025-08-14 01:36:11 | Process-2 | INFO | App 585: collected 0 reviews.
2025-08-14 01:36:12 | Process-2 | INFO | App 586: collected 0 reviews.
2025-08-14 01:36:12 | Process-2 | INFO | App 590: collected 0 reviews.
2025-08-14 01:36:12 | Process-2 | INFO | App 629: collected 0 reviews.
2025-08-14 01:36:12 | Process-2 | INFO | App 550: collected 100 reviews.
2025-08-14 01:36:13 | Process-2 | INFO | Timeout -> backoff 1.5s
2025-08-14 01:36:13 | Process-2 | INFO | App 620: collected 100 reviews.
2025-08-14 01:36:13 | Process-2 | INFO | App 500: collected 100 reviews.
2025-08-14 01:36:13 | Process-2 | INFO | App 635: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 640: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 630: collected 100 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 650: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 652: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 644: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 651: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 653: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 654: collected 0 reviews.
2025-08-14 01:36:14 | Process-2 | INFO | App 659: collected 0 reviews.
2025-08-14 01:36:15 | Process-2 | INFO | App 669: collected 0 reviews.
2025-08-14 01:36:15 | Process-2 | INFO | App 740: collected 0 reviews.
2025-08-14 01:36:15 | Process-2 | INFO | App 745: collected 0 reviews.
2025-08-14 01:36:15 | Process-2 | INFO | App 570: collected 100 reviews.
2025-08-14 01:36:15 | Process-2 | INFO | App 660: collected 4 reviews.
2025-08-14 01:36:15 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 1.4s
2025-08-14 01:36:15 | Process-2 | INFO | App 754: collected 0 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 755: collected 0 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 756: collected 0 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 730: collected 100 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 760: collected 0 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 764: collected 0 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 765: collected 0 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 761: collected 0 reviews.
2025-08-14 01:36:16 | Process-2 | INFO | App 767: collected 0 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | App 852: collected 0 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | App 854: collected 0 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | App 10: collected 100 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | App 902: collected 0 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | App 903: collected 0 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 2.9s
2025-08-14 01:36:17 | Process-2 | INFO | App 905: collected 0 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | App 901: collected 0 reviews.
2025-08-14 01:36:17 | Process-2 | INFO | App 906: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 900: collected 5 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 907: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 909: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 912: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 908: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 16.4s
2025-08-14 01:36:18 | Process-2 | INFO | App 914: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 915: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 916: collected 0 reviews.
2025-08-14 01:36:18 | Process-2 | INFO | App 904: collected 1 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 913: collected 0 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 917: collected 0 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 919: collected 0 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 918: collected 0 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 920: collected 0 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 921: collected 0 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 924: collected 0 reviews.
2025-08-14 01:36:19 | Process-2 | INFO | App 925: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 926: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 927: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 220: collected 100 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 928: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 923: collected 1 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 240: collected 99 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 930: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 932: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 20.0s
2025-08-14 01:36:20 | Process-2 | INFO | App 933: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 929: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 934: collected 0 reviews.
2025-08-14 01:36:20 | Process-2 | INFO | App 936: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 937: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 939: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 938: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 935: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 4.7s
2025-08-14 01:36:21 | Process-2 | INFO | App 940: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 944: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 942: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 941: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 943: collected 0 reviews.
2025-08-14 01:36:21 | Process-2 | INFO | App 945: collected 0 reviews.
2025-08-14 01:36:22 | Process-2 | INFO | App 947: collected 0 reviews.
2025-08-14 01:36:22 | Process-2 | INFO | App 946: collected 0 reviews.
2025-08-14 01:36:22 | Process-2 | INFO | App 949: collected 0 reviews.
2025-08-14 01:36:22 | Process-2 | INFO | App 951: collected 0 reviews.
2025-08-14 01:36:22 | Process-2 | INFO | App 950: collected 0 reviews.
2025-08-14 01:36:22 | Process-2 | INFO | App 955: collected 0 reviews.
2025-08-14 01:36:22 | Process-2 | INFO | App 931: collected 0 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 956: collected 0 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 957: collected 0 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 958: collected 0 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 959: collected 0 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 961: collected 0 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 960: collected 0 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 953: collected 1 reviews.
2025-08-14 01:36:23 | Process-2 | INFO | App 962: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 963: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 964: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 948: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 965: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 966: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 968: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 969: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 970: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 971: collected 0 reviews.
2025-08-14 01:36:24 | Process-2 | INFO | App 972: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 973: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 975: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 974: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 976: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 977: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 978: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 979: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 980: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 981: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 982: collected 0 reviews.
2025-08-14 01:36:25 | Process-2 | INFO | App 967: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 983: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 984: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 985: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 987: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 986: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 922: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 988: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | Request exception: Response payload is not completed -> backoff 8.7s
2025-08-14 01:36:26 | Process-2 | INFO | App 989: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 990: collected 0 reviews.
2025-08-14 01:36:26 | Process-2 | INFO | App 992: collected 0 reviews.
