2025-08-14 01:38:30 | Process-4 | INFO | Marking proxy for removal due to repeated failures: http://165.225.113.220:11462
2025-08-14 01:38:30 | Process-4 | INFO | App 1930180: collected 6 reviews.
2025-08-14 01:38:31 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:31 | Process-4 | INFO | App 1930210: collected 0 reviews.
2025-08-14 01:38:31 | Process-4 | INFO | Worker removed bad proxy: http://165.225.113.220:11462 (remaining 2)
2025-08-14 01:38:33 | Process-4 | INFO | App 1930600: collected 100 reviews.
2025-08-14 01:38:33 | Process-4 | INFO | App 1930310: collected 10 reviews.
2025-08-14 01:38:33 | Process-4 | INFO | App 1930630: collected 0 reviews.
2025-08-14 01:38:34 | Process-4 | INFO | App 1930640: collected 100 reviews.
2025-08-14 01:38:35 | Process-4 | INFO | App 1930680: collected 0 reviews.
2025-08-14 01:38:35 | Process-4 | INFO | App 1930660: collected 4 reviews.
2025-08-14 01:38:35 | Process-4 | INFO | App 1930700: collected 0 reviews.
2025-08-14 01:38:36 | Process-4 | INFO | App 1930690: collected 11 reviews.
2025-08-14 01:38:36 | Process-4 | INFO | App 1930750: collected 0 reviews.
2025-08-14 01:38:37 | Process-4 | INFO | App 1930740: collected 26 reviews.
2025-08-14 01:38:38 | Process-4 | INFO | App 1930761: collected 35 reviews.
2025-08-14 01:38:38 | Process-4 | INFO | App 1930780: collected 0 reviews.
2025-08-14 01:38:39 | Process-4 | INFO | App 1930770: collected 20 reviews.
2025-08-14 01:38:39 | Process-4 | INFO | App 1930830: collected 0 reviews.
2025-08-14 01:38:39 | Process-4 | INFO | App 1930840: collected 0 reviews.
2025-08-14 01:38:40 | Process-4 | INFO | App 1930820: collected 7 reviews.
2025-08-14 01:38:40 | Process-4 | INFO | App 1930910: collected 1 reviews.
2025-08-14 01:38:41 | Process-4 | INFO | App 1930920: collected 100 reviews.
2025-08-14 01:38:42 | Process-4 | INFO | App 1930950: collected 5 reviews.
2025-08-14 01:38:42 | Process-4 | INFO | App 1930980: collected 0 reviews.
2025-08-14 01:38:42 | Process-4 | INFO | App 1930960: collected 26 reviews.
2025-08-14 01:38:42 | Process-4 | INFO | App 1930990: collected 0 reviews.
2025-08-14 01:38:43 | Process-4 | INFO | App 1931010: collected 100 reviews.
2025-08-14 01:38:44 | Process-4 | INFO | App 1931030: collected 0 reviews.
2025-08-14 01:38:44 | Process-4 | INFO | App 1931020: collected 100 reviews.
